PARTNER_APP_ID,DAY,OS_NAME,N_USERS_STARTED_SELFIE_CHECK_FLOW,N_USERS_SHARED_A_PROOF,CUMULATIVE_N_USERS_SHARED_A_PROOF,P_FACE_CAPTURE_COMPLETION
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-04,iOS,11,5,26,0.714286
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-04,unknown,0,0,0,0.000000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-05,Android,72,21,157,0.682540
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-05,iOS,8,4,30,0.800000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-06,Android,65,23,180,0.704225
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-06,iOS,8,5,35,0.857143
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-14,Android,55,22,304,0.656250
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-14,iOS,7,4,63,0.555556
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-15,Android,45,15,319,0.714286
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-15,iOS,4,2,65,0.750000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-16,Android,48,18,337,0.607843
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-16,iOS,7,3,67,1.000000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-17,Android,40,11,348,0.631579
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-17,iOS,7,5,72,0.857143
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-18,Android,57,23,368,0.723077
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-18,iOS,3,2,74,0.666667
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-19,Android,44,13,381,0.600000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-19,iOS,3,2,76,1.000000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-19,unknown,0,0,0,1.000000
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-20,Android,73,28,409,0.768293
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-20,iOS,7,3,79,0.777778
app_0d4b759921490adc1f2bd569fda9b53a,2026-08-20,unknown,0,0,0,1.000000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-29,Android,12,5,146,0.800000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-29,iOS,2,0,13,\\N
app_b8f69265fd23302eef25595ef2dfa059,2026-08-30,Android,9,3,149,0.875000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-30,iOS,1,1,14,1.000000
app_b8f69265fd23302eef25595ef2dfa059,2026-08-31,Android,6,3,152,0.714286
app_b8f69265fd23302eef25595ef2dfa059,2026-09-01,Android,13,6,158,0.583333
